@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
163,'2017/06/26 16:27:01:335',2,5,75,66,?,?,?
164,'2017/06/26 16:27:01:384',2,4,75,66,?,?,?
165,'2017/06/26 16:27:01:432',2,5,75,66,?,?,?
166,'2017/06/26 16:27:01:481',2,4,74,67,?,?,?
167,'2017/06/26 16:27:01:534',2,4,75,67,?,?,?
168,'2017/06/26 16:27:01:582',2,4,76,64,?,?,?
169,'2017/06/26 16:27:01:630',2,3,75,65,?,?,?
170,'2017/06/26 16:27:01:678',2,3,75,65,?,?,?
171,'2017/06/26 16:27:01:726',2,3,74,66,?,?,?
172,'2017/06/26 16:27:01:777',2,2,74,65,?,?,?
173,'2017/06/26 16:27:01:825',2,3,75,65,?,?,?
174,'2017/06/26 16:27:01:875',2,3,76,64,?,?,?
175,'2017/06/26 16:27:01:924',2,2,75,64,?,?,?
176,'2017/06/26 16:27:01:973',2,2,75,65,?,?,?
177,'2017/06/26 16:27:02:021',2,3,74,64,?,?,?
178,'2017/06/26 16:27:02:070',2,2,74,66,?,?,?
179,'2017/06/26 16:27:02:125',2,3,75,64,?,?,?
180,'2017/06/26 16:27:02:173',2,2,75,64,?,?,?
181,'2017/06/26 16:27:02:221',2,3,75,64,?,?,?
182,'2017/06/26 16:27:02:269',2,3,76,64,?,?,?
183,'2017/06/26 16:27:02:316',2,3,76,63,?,?,?
184,'2017/06/26 16:27:02:364',2,3,76,63,?,?,?
185,'2017/06/26 16:27:02:411',2,2,76,63,?,?,?
186,'2017/06/26 16:27:02:459',2,2,76,64,?,?,?
187,'2017/06/26 16:27:02:508',2,3,76,63,?,?,?
188,'2017/06/26 16:27:02:556',2,3,76,63,?,?,?
189,'2017/06/26 16:27:02:604',2,2,76,63,?,?,?
190,'2017/06/26 16:27:02:652',2,2,76,64,?,?,?
191,'2017/06/26 16:27:02:700',2,2,76,64,?,?,?
192,'2017/06/26 16:27:02:746',2,2,76,65,?,?,?
193,'2017/06/26 16:27:02:795',2,2,76,65,?,?,?
194,'2017/06/26 16:27:02:843',2,2,76,65,?,?,?
195,'2017/06/26 16:27:02:891',2,2,76,65,?,?,?
196,'2017/06/26 16:27:02:939',2,2,76,65,?,?,?
197,'2017/06/26 16:27:02:986',2,2,75,65,?,?,?
198,'2017/06/26 16:27:03:033',2,2,75,64,?,?,?
199,'2017/06/26 16:27:03:081',2,2,76,64,?,?,?
200,'2017/06/26 16:27:03:129',2,1,75,64,?,?,?
201,'2017/06/26 16:27:03:176',2,2,76,62,?,?,?
202,'2017/06/26 16:27:03:225',2,2,76,63,?,?,?
203,'2017/06/26 16:27:03:273',2,2,76,62,?,?,?
204,'2017/06/26 16:27:03:322',2,2,76,64,?,?,?
205,'2017/06/26 16:27:03:369',2,2,75,63,?,?,?
