@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
842,'2017/06/26 16:28:33:165',7,101,18,168,?,?,?
843,'2017/06/26 16:28:33:215',7,101,18,167,?,?,?
844,'2017/06/26 16:28:33:266',7,102,18,166,?,?,?
845,'2017/06/26 16:28:33:316',7,100,17,168,?,?,?
846,'2017/06/26 16:28:33:367',7,101,17,167,?,?,?
847,'2017/06/26 16:28:33:417',7,100,17,167,?,?,?
848,'2017/06/26 16:28:33:467',7,100,18,164,?,?,?
849,'2017/06/26 16:28:33:516',7,99,18,166,?,?,?
850,'2017/06/26 16:28:33:566',7,98,18,166,?,?,?
851,'2017/06/26 16:28:33:617',7,98,18,166,?,?,?
852,'2017/06/26 16:28:33:667',7,100,17,166,?,?,?
853,'2017/06/26 16:28:33:718',7,100,18,166,?,?,?
854,'2017/06/26 16:28:33:769',7,100,19,166,?,?,?
855,'2017/06/26 16:28:33:818',7,100,19,165,?,?,?
856,'2017/06/26 16:28:33:869',7,100,19,165,?,?,?
857,'2017/06/26 16:28:33:918',7,100,19,164,?,?,?
858,'2017/06/26 16:28:33:967',7,100,19,162,?,?,?
859,'2017/06/26 16:28:34:018',7,100,19,162,?,?,?
860,'2017/06/26 16:28:34:067',7,99,19,162,?,?,?
861,'2017/06/26 16:28:34:116',7,99,19,162,?,?,?
862,'2017/06/26 16:28:34:167',7,100,19,162,?,?,?
863,'2017/06/26 16:28:34:218',7,100,19,162,?,?,?
864,'2017/06/26 16:28:34:269',7,100,20,161,?,?,?
865,'2017/06/26 16:28:34:318',7,99,19,165,?,?,?
866,'2017/06/26 16:28:34:368',7,100,20,163,?,?,?
867,'2017/06/26 16:28:34:418',7,99,18,167,?,?,?
868,'2017/06/26 16:28:34:468',7,100,18,165,?,?,?
869,'2017/06/26 16:28:34:518',7,99,19,162,?,?,?
870,'2017/06/26 16:28:34:568',7,99,18,162,?,?,?
871,'2017/06/26 16:28:34:617',7,98,18,164,?,?,?
872,'2017/06/26 16:28:34:667',7,100,19,161,?,?,?
873,'2017/06/26 16:28:34:716',7,99,18,163,?,?,?
874,'2017/06/26 16:28:34:767',7,100,19,161,?,?,?
875,'2017/06/26 16:28:34:817',7,98,17,165,?,?,?
876,'2017/06/26 16:28:34:868',7,98,18,165,?,?,?
877,'2017/06/26 16:28:34:918',7,98,17,165,?,?,?
878,'2017/06/26 16:28:34:968',7,99,19,162,?,?,?
879,'2017/06/26 16:28:35:020',7,98,18,163,?,?,?
880,'2017/06/26 16:28:35:069',7,98,18,164,?,?,?
881,'2017/06/26 16:28:35:119',7,96,17,167,?,?,?
882,'2017/06/26 16:28:35:170',7,96,18,169,?,?,?
883,'2017/06/26 16:28:35:221',7,97,19,167,?,?,?
884,'2017/06/26 16:28:35:271',7,96,17,168,?,?,?
885,'2017/06/26 16:28:35:321',7,97,18,167,?,?,?
886,'2017/06/26 16:28:35:371',7,98,20,165,?,?,?
887,'2017/06/26 16:28:35:421',7,97,18,168,?,?,?
888,'2017/06/26 16:28:35:471',7,96,16,171,?,?,?
889,'2017/06/26 16:28:35:521',7,97,17,167,?,?,?
890,'2017/06/26 16:28:35:570',7,98,20,167,?,?,?
891,'2017/06/26 16:28:35:620',7,98,20,166,?,?,?
892,'2017/06/26 16:28:35:670',7,95,17,169,?,?,?
893,'2017/06/26 16:28:35:720',7,96,17,168,?,?,?
894,'2017/06/26 16:28:35:773',7,95,17,168,?,?,?
895,'2017/06/26 16:28:35:824',7,95,16,170,?,?,?
896,'2017/06/26 16:28:35:873',7,96,17,167,?,?,?
897,'2017/06/26 16:28:35:930',7,99,18,164,?,?,?
898,'2017/06/26 16:28:35:981',7,97,17,167,?,?,?
899,'2017/06/26 16:28:36:031',7,95,18,167,?,?,?
900,'2017/06/26 16:28:36:081',7,95,18,167,?,?,?
901,'2017/06/26 16:28:36:131',7,97,19,164,?,?,?
902,'2017/06/26 16:28:36:181',7,96,18,167,?,?,?
903,'2017/06/26 16:28:36:233',7,96,19,167,?,?,?
904,'2017/06/26 16:28:36:283',7,94,16,168,?,?,?
905,'2017/06/26 16:28:36:334',7,94,16,169,?,?,?
906,'2017/06/26 16:28:36:384',7,96,17,166,?,?,?
907,'2017/06/26 16:28:36:434',7,94,16,169,?,?,?
908,'2017/06/26 16:28:36:484',7,95,17,167,?,?,?
909,'2017/06/26 16:28:36:535',7,96,18,167,?,?,?
910,'2017/06/26 16:28:36:586',7,96,18,166,?,?,?
911,'2017/06/26 16:28:36:636',7,96,18,166,?,?,?
912,'2017/06/26 16:28:36:686',7,96,18,167,?,?,?
913,'2017/06/26 16:28:36:744',7,95,19,167,?,?,?
914,'2017/06/26 16:28:36:797',7,94,17,170,?,?,?
915,'2017/06/26 16:28:36:848',7,94,17,171,?,?,?
